,topic 0,topic 0_V,topic 1,topic 1_V,topic 2,topic 2_V,topic 3,topic 3_V,topic 4,topic 4_V
0,sop pkp,100,vaksin covid,100,bantuan covid sabah,100,mco malaysia,100,kes covid hari ini,100
1,pkpb sop,70,vaksin covid 19,61,bantuan covid 19,79,mco 2.0,88,kes covid 19,87
2,pkpb,66,vaksin malaysia,49,bantuan covid 19 sabah,37,mco 2021,43,kes covid terkini,70
3,malaysia sop,60,daftar vaksin,40,bantuan covid 2021,37,mco sop,21,kes covid malaysia,63
4,mkn,59,vaksin covid malaysia,31,bantuan covid sabah 2021,22,mco 2.0 malaysia,19,kes covid 19 terkini,29
5,sop mkn,56,vaksin covid 19 malaysia,19,semakan bantuan covid sabah,19,mco in malaysia,16,covid 19 malaysia,28
6,mco sop,43,daftar vaksin covid,14,bantuan prihatin rakyat,10,mco announcement,14,kes covid malaysia hari ini,23
7,sop terkini,34,vaksin pfizer,14,bantuan covid sabah 2.0,8,mco news,13,kes covid selangor,23
8,sop pkp 2.0,32,vaksin covid-19,13,bantuan covid sabah fasa 2,8,mco malaysia 2021,13,kes covid mengikut negeri,15
9,cmco sop,26,cara daftar vaksin,12,semakan bantuan covid 19 sabah,7,pkp,12,covid 19 malaysia kes hari ini,15
10,miti,23,vaksin pahang,7,bantuan covid 19 sabah fasa 2,5,selangor mco,11,kes covid terkini malaysia,14
11,miti sop,23,jenis vaksin covid 19,7,bantuan prihatin covid 19 sabah,4,mco extended,11,kes covid di selangor,12
12,pkp 2021,21,daftar vaksin covid 19,7,bantuan untuk pesakit covid 19,1,miti,10,kes covid di perak,11
13,sop covid 19,21,jenis vaksin covid,7,,,mco meaning,9,kes covid dunia,10
14,cny sop,20,pendaftaran vaksin covid 19,6,,,mco rules,9,kes covid di kedah,9
15,new sop,19,mysejahtera,5,,,malaysia mco news,8,kes covid 19 malaysia terkini,9
16,sop pkpb terkini,19,vaksin pneumococcal,4,,,mco extension,8,kes covid di sarawak,7
17,mco 2.0,16,daftar vaksin covid malaysia,4,,,sop mco 2.0,8,kes covid di kelantan,6
18,sop mco 2.0,16,vaksin sinovac,3,,,mco kl,8,kes covid hari ini sabah,6
19,latest sop,14,vaccine covid 19,3,,,mco 2.0 date,6,kes covid hari ini di malaysia,5
20,pkpp sop,12,vaksin covid 19 di malaysia,2,,,mco announcement today,4,kes covid di johor,4
21,sop pkp terkini,11,vaksin pahang gov my,2,,,miti mco 2.0,4,kes covid hari ini selangor,4
22,pkpp,11,daftar vaksin covid 19 malaysia,2,,,mco 2.0 announcement,4,kes covid negeri sembilan,4
23,sop meaning,11,vaksin comirnaty,2,,,miti malaysia,3,kes covid di melaka,4
24,mkn sop terkini,10,cara mendaftar vaksin covid 19,1,,,mco announcement 2021,3,kes covid harini,2
